method,type,scale,AbsRel,SqRel,RMSE,RMSElog,d1,d2,d3,Time (ms)
DEFOM-Stereo (copy-left right),pseudo-stereo floor,metric,1.0727003812789917,14.464259147644043,12.09457015991211,0.7481216192245483,0.057031751914793836,0.21335057832369256,0.4909919807007018,221.16084700013744
DEFOM-Stereo (constant-shift right),pseudo-stereo floor,metric,1.3460246324539185,20.409147262573242,14.01470947265625,0.8613821268081665,0.01777651469116378,0.12652822331369623,0.35166389919834706,222.00147650008148
DA-V2 warp right view -> DEFOM-Stereo,pseudo-stereo generator,metric,0.3830167353153229,2.4781620502471924,5.672154426574707,0.4176221191883087,0.24581572212212388,0.6325761223380721,0.9571721352738453,688.3824380000442
MoGe warp right view -> DEFOM-Stereo,pseudo-stereo generator,metric,0.3211021423339844,1.9185981750488281,5.040202617645264,0.3526763617992401,0.3450440173335014,0.7846996470236505,0.9866980558629577,524.7895284998958
ZeroStereo/StereoGen tuned right view -> DEFOM-Stereo,PersonDataset-tuned pseudo-stereo generator,metric,0.5355956554412842,5.143883228302002,7.243113994598389,0.46157896518707275,0.26044728278487006,0.5776060605581955,0.853698887898748,224.09780349953508
GASG right view -> DEFOM-Stereo,GASG pseudo-stereo,metric,0.2974404990673065,1.6767404079437256,4.859463691711426,0.3163833022117615,0.3838481193913916,0.8603471909542957,0.9987466165304536,385.8338170009665
DEFOM-Stereo (real right upper bound),stereo upper bound,metric,0.29579126834869385,1.6598488092422485,4.837118625640869,0.3147938549518585,0.3820460637416754,0.8629187518068328,0.9988436004072557,221.30392050014052
